Instance;Solution;C;F;Beta;T;C service time; F service time;GAP;Cost;Time;Status;Ratio
P-n101-k4.vrp;mlsa_flow_88c12f25.000000B-P-n101-k4.vrp;88;12;25;61;1;7;0;88.0;5.26;Optimal;0.1
P-n101-k4.vrp;mlsa_flow_78c22f19.000000B-P-n101-k4.vrp;78;22;19;53;1;4;0;78.0;5.25;Optimal;0.2
P-n101-k4.vrp;mlsa_flow_65c35f15.000000B-P-n101-k4.vrp;65;35;15;37;1;2;0;65.0;4.94;Optimal;0.3
P-n16-k8.vrp;mlsa_flow_13c2f55.000000B-P-n16-k8.vrp;13;2;55;60;3;25;0;13.0;0.22;Optimal;0.1
P-n16-k8.vrp;mlsa_flow_11c4f25.000000B-P-n16-k8.vrp;11;4;25;84;4;12;0;11.0;0.12;Optimal;0.2
P-n16-k8.vrp;mlsa_flow_10c5f23.000000B-P-n16-k8.vrp;10;5;23;74;5;10;0;10.0;0.21;Optimal;0.3
P-n19-k2.vrp;mlsa_flow_17c1f60.000000B-P-n19-k2.vrp;17;1;60;214;3;51;0;17.0;0.25;Optimal;0.1
P-n19-k2.vrp;mlsa_flow_14c4f25.000000B-P-n19-k2.vrp;14;4;25;107;3;12;0;14.0;0.27;Optimal;0.2
P-n19-k2.vrp;mlsa_flow_13c5f21.000000B-P-n19-k2.vrp;13;5;21;131;3;10;0;13.0;0.22;Optimal;0.3
P-n20-k2.vrp;mlsa_flow_17c2f55.000000B-P-n20-k2.vrp;17;2;55;110;3;25;0;17.0;0.24;Optimal;0.1
P-n20-k2.vrp;mlsa_flow_15c4f25.000000B-P-n20-k2.vrp;15;4;25;107;3;12;0;15.0;0.16;Optimal;0.2
P-n20-k2.vrp;mlsa_flow_14c5f21.000000B-P-n20-k2.vrp;14;5;21;131;3;10;0;14.0;0.18;Optimal;0.3
P-n21-k2.vrp;mlsa_flow_18c2f40.000000B-P-n21-k2.vrp;18;2;40;108;2;25;0;18.0;0.2;Optimal;0.1
P-n21-k2.vrp;mlsa_flow_15c5f23.000000B-P-n21-k2.vrp;15;5;23;90;3;10;0;15.0;0.32;Optimal;0.2
P-n21-k2.vrp;mlsa_flow_13c7f19.000000B-P-n21-k2.vrp;13;7;19;80;3;7;0;13.0;0.26;Optimal;0.3
P-n22-k2.vrp;mlsa_flow_19c2f40.000000B-P-n22-k2.vrp;19;2;40;108;2;25;0;19.0;0.21;Optimal;0.1
P-n22-k2.vrp;mlsa_flow_16c5f23.000000B-P-n22-k2.vrp;16;5;23;90;3;10;0;16.0;0.2;Optimal;0.2
P-n22-k2.vrp;mlsa_flow_14c7f19.000000B-P-n22-k2.vrp;14;7;19;124;3;7;0;14.0;0.21;Optimal;0.3
P-n23-k8.vrp;mlsa_flow_20c2f40.000000B-P-n23-k8.vrp;20;2;40;108;2;25;0;20.0;0.24;Optimal;0.1
P-n23-k8.vrp;mlsa_flow_17c5f23.000000B-P-n23-k8.vrp;17;5;23;90;3;10;0;17.0;0.24;Optimal;0.2
P-n23-k8.vrp;mlsa_flow_15c7f19.000000B-P-n23-k8.vrp;15;7;19;94;3;7;0;15.0;0.24;Optimal;0.3
P-n40-k5.vrp;mlsa_flow_35c4f51.000000B-P-n40-k5.vrp;35;4;51;79;2;18;0;35.0;0.52;Optimal;0.1
P-n40-k5.vrp;mlsa_flow_31c8f27.000000B-P-n40-k5.vrp;31;8;27;79;2;9;0;31.0;0.55;Optimal;0.2
